Year,Area_Ha,Production_Tonnes,Yield_Kg_Ha,Production_Value_1000USD,Value_Unit,Humidity,Precipitation,Solar_Radiation,Temperature
2004,170000.0,48431.0,284.9,198494,1000 USD,73.2175,29.28,19.773333333333333,16.63083333333333
2005,170000.0,45200.0,265.9,185252,1000 USD,70.80166666666666,23.77,19.99,16.874166666666667
2006,170000.0,48300.0,284.1,197957,1000 USD,74.50833333333334,48.07,19.461666666666666,16.6375
2007,163000.0,53368.0,327.4,218729,1000 USD,75.65666666666667,33.08,19.706666666666667,16.3625
2008,155000.0,42000.0,271.0,172137,1000 USD,72.68916666666667,27.19,19.94,16.55666666666667
2009,160000.0,54000.0,337.5,221319,1000 USD,70.89916666666666,27.55,20.433333333333334,17.003333333333334
2010,160000.0,42000.0,262.5,172137,1000 USD,78.1725,38.51,19.109166666666667,16.2425
2011,115600.0,36300.0,314.0,148775,1000 USD,74.39999999999999,36.95,19.855833333333333,16.579166666666666
2012,109795.0,49000.0,446.3,200826,1000 USD,75.8525,39.39,20.145,16.18916666666667
2013,109800.0,39800.0,362.5,163120,1000 USD,76.88083333333334,31.0,19.455833333333334,16.32
2014,110000.0,49500.0,450.0,202876,1000 USD,75.12416666666667,29.22,19.811666666666667,16.673333333333336
2015,113500.0,42000.0,370.0,172137,1000 USD,75.12666666666667,37.88,20.495,16.669999999999998
2016,114000.0,46100.0,404.4,188941,1000 USD,78.32583333333334,24.950000000000003,19.451666666666668,16.270833333333332
2017,114700.0,38620.0,336.7,158284,1000 USD,76.1075,27.84,20.5475,16.465833333333332
2018,115570.0,41375.0,358.0,169575,1000 USD,82.3725,45.940000000000005,19.191666666666666,15.5575
2019,119600.0,44500.0,372.1,182383,1000 USD,76.99333333333333,47.269999999999996,20.1825,16.786666666666665
2020,119700.0,36900.0,308.3,151234,1000 USD,83.59916666666666,47.0,19.4525,15.821666666666667
2021,108200.0,34500.0,318.9,141398,1000 USD,78.80416666666666,27.81,19.3275,16.063333333333333
2022,109400.0,51900.0,474.4,212712,1000 USD,76.88250000000001,19.94,19.7025,16.049166666666668
2023,111900.0,48700.0,435.2,199597,1000 USD,80.08,38.410000000000004,19.763333333333332,16.215
2024,113600.0,49500.0,435.7,202876,1000 USD,83.97166666666666,47.68,19.56,16.1775
