Year,Production_Value_1000USD,Value_Unit
1990,425834,1000 USD
1991,354110,1000 USD
1992,349602,1000 USD
1993,307797,1000 USD
1994,327470,1000 USD
1995,390996,1000 USD
1996,401554,1000 USD
1997,281329,1000 USD
1998,220151,1000 USD
1999,279108,1000 USD
2000,412718,1000 USD
2001,211892,1000 USD
2002,212712,1000 USD
2003,227233,1000 USD
2004,198494,1000 USD
2005,185252,1000 USD
2006,197957,1000 USD
2007,218729,1000 USD
2008,172137,1000 USD
2009,221319,1000 USD
2010,172137,1000 USD
2011,148775,1000 USD
2012,200826,1000 USD
2013,163120,1000 USD
2014,202876,1000 USD
2015,172137,1000 USD
2016,188941,1000 USD
2017,158284,1000 USD
2018,169575,1000 USD
2019,182383,1000 USD
2020,151234,1000 USD
2021,141398,1000 USD
2022,212712,1000 USD
2023,199597,1000 USD
2024,202876,1000 USD
