Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1990","1990","1000 USD","425834","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1991","1991","1000 USD","354110","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1992","1992","1000 USD","349602","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1993","1993","1000 USD","307797","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1994","1994","1000 USD","327470","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1995","1995","1000 USD","390996","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1996","1996","1000 USD","401554","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1997","1997","1000 USD","281329","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1998","1998","1000 USD","220151","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","1999","1999","1000 USD","279108","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2000","2000","1000 USD","412718","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2001","2001","1000 USD","211892","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2002","2002","1000 USD","212712","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2003","2003","1000 USD","227233","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2004","2004","1000 USD","198494","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2005","2005","1000 USD","185252","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2006","2006","1000 USD","197957","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2007","2007","1000 USD","218729","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2008","2008","1000 USD","172137","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2009","2009","1000 USD","221319","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2010","2010","1000 USD","172137","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2011","2011","1000 USD","148775","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2012","2012","1000 USD","200826","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2013","2013","1000 USD","163120","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2014","2014","1000 USD","202876","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2015","2015","1000 USD","172137","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2016","2016","1000 USD","188941","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2017","2017","1000 USD","158284","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2018","2018","1000 USD","169575","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2019","2019","1000 USD","182383","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2020","2020","1000 USD","151234","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2021","2021","1000 USD","141398","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2022","2022","1000 USD","212712","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2023","2023","1000 USD","199597","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01610","Coffee, green","2024","2024","1000 USD","202876","E","Estimated value"
